phase,step,elapsed_seconds,combined_training_elapsed_seconds,train_nll,train_ppl,validation_nll,validation_ppl,learning_rate,tokens_per_second
initial,1,2.6894060596823692,2.6894060596823692,9.185302734375,9752.732043936321,9.16455078125,9552.429330187657,1e-06,12184.102836397286
initial,100,24.81645568460226,24.81645568460226,6.27569580078125,531.4960685086406,6.587059020996094,725.6436259762447,0.0001,132041.41806733262
initial,200,47.08312680572271,47.08312680572271,6.527740478515625,683.8512878193708,6.210102081298828,497.75205987022576,0.0002,139192.11498084795
initial,300,69.48209762573242,69.48209762573242,6.078765869140625,436.4901761808611,6.006166458129883,405.92420627804887,0.0003,141481.04815360886
initial,400,91.66208481788635,91.66208481788635,7.1134796142578125,1228.4145267648971,5.937985420227051,379.17029078554896,0.0004,142994.78378700747
initial,500,113.71063883602619,113.71063883602619,6.17193603515625,479.1127879567655,5.897534132003784,364.13844255032,0.0005,144085.02289417412
initial,600,137.70332638174295,137.70332638174295,5.159244537353516,174.03293055194356,5.74671745300293,313.16100554685516,0.0004999865325544839,142776.50741345255
initial,700,160.04202702641487,160.04202702641487,5.4162750244140625,225.0392934278223,5.621484994888306,276.29938190624506,0.0004999461317452795,143322.3536728522
initial,800,182.37357901781797,182.37357901781797,5.352949142456055,211.23032851717113,5.531514286994934,252.52601850600672,0.0004998788021542455,143740.1192715467
initial,900,204.74058850854635,204.74058850854635,5.3693695068359375,214.72744083238172,5.479596316814423,239.74990483146618,0.0004997845514172352,144041.785826795
initial,1000,227.1210561618209,227.1210561618209,5.042987823486328,154.93223433571748,5.437862992286682,229.950252554396,0.0004996633902232309,144275.48266001904
initial,1100,249.43238094449043,249.43238094449043,5.406562805175781,222.86424185885352,5.378233909606934,216.63933272448583,0.000499515332313132,144507.30038944518
initial,1200,271.6291636452079,271.6291636452079,5.165630340576172,175.1478265653434,5.31825590133667,204.02772701257223,0.0004993403944781961,144762.0699939291
initial,1300,294.00242292135954,294.00242292135954,5.2005157470703125,181.36575661573113,5.297109365463257,199.758545650964,0.0004991385965581349,144891.32292421386
initial,1400,316.42085211724043,316.42085211724043,5.167072296142578,175.40056412317568,5.198857307434082,181.06522173466723,0.0004989099614388639,144981.59553341413
initial,1500,338.7367954328656,338.7367954328656,5.254005432128906,191.33109942972635,5.224207401275635,185.7139155640426,0.0004986545150499075,145103.81116757495
initial,1600,360.61344377696514,360.61344377696514,5.359947204589844,212.71371584521327,5.1811745166778564,177.89162502201944,0.0004983722863614581,145387.8131965223
initial,1700,382.4769132435322,382.4769132435322,5.089924335479736,162.3775753673202,5.13386344909668,169.67137009787936,0.0004980633073810901,145644.34628902926
initial,1800,404.48282653838396,404.48282653838396,5.133401155471802,169.59295023305722,5.143306255340576,171.281132345954,0.0004977276131501306,145821.76579603876
initial,1900,425.99442429840565,425.99442429840565,5.128854751586914,168.82366225727344,5.1439173221588135,171.38582854745027,0.000497365241739685,146150.26969552055
initial,2000,447.9061813130975,447.9061813130975,4.82928466796875,125.12142527152699,5.050491452217102,156.09916091725637,0.0004969762342463193,146316.3553757449
initial,2100,473.957934319973,473.957934319973,4.566648483276367,96.22108219291253,5.056304752826691,157.00925502688364,0.0004965606347873998,145187.56838353485
initial,2200,495.97213719040155,495.97213719040155,5.02915096282959,152.80322198961701,5.061885833740234,157.88798623743145,0.0004961184904960891,145350.10052858092
initial,2300,517.9316556975245,517.9316556975245,5.134441375732422,169.76945604249173,5.045514851808548,155.32424758558903,0.000495649851516001,145514.17966237318
initial,2400,539.9705572798848,539.9705572798848,5.304351806640625,201.2105368010016,5.041086196899414,154.6378910339588,0.000495154770995514,145643.49655686243
initial,2500,562.4059262052178,562.4059262052178,4.858757972717285,128.8640500054583,4.955896735191345,142.00989456250264,0.0004946333050817434,145659.91605520173
initial,2600,584.836747713387,584.836747713387,4.741035461425781,114.55275525002023,5.0312840938568115,153.1295191771021,0.0004940855129141734,145676.20850280888
initial,2700,606.6320406273007,606.6320406273007,4.4570465087890625,86.23244584730168,4.980885565280914,145.6032657744934,0.0004935114566179511,145843.92856749208
initial,2800,628.5850201100111,628.5850201100111,4.434144973754883,84.28003243254267,4.94334614276886,140.2387241241446,0.0004929112012968395,145963.3893024406
initial,2900,650.8902867585421,650.8902867585421,5.186702728271484,178.8777708658431,4.95159325003624,141.4000702155481,0.0004922848150258352,145995.72605890158
initial,3000,672.6387411504984,672.6387411504984,4.882890224456787,132.01165636152663,4.9052223563194275,134.9929231994268,0.0004916323688434475,146146.80063158175
initial,3100,695.1698779165745,695.1698779165745,4.543666839599609,94.03497989584272,4.882122725248337,131.91037639088321,0.000490953936743642,146123.70763882616
initial,3200,717.8333466053009,717.8333466053009,5.307355880737305,201.81589698074802,4.948089957237244,140.90557106119914,0.0004902495956674489,146075.13080282646
initial,3300,739.7790397405624,739.7790397405624,4.639636516571045,103.50671776809399,4.907256841659546,135.2678438889243,0.0004895194254942371,146171.2135530662
initial,3400,761.7176567986608,761.7176567986608,5.016484260559082,150.87991575978677,4.901907533407211,134.54618640037074,0.0004887635090326554,146263.1186314334
initial,3500,783.638149574399,783.638149574399,4.378087401390076,79.68548122542165,4.863524317741394,129.4797266270088,0.00048798193201124055,146353.26274287194
initial,3600,805.4853969812393,805.4853969812393,5.728340148925781,307.45850926576463,4.833448886871338,125.64354463092077,0.0004871747830686955,146451.8170560298
initial,3700,827.9254004731774,827.9254004731774,4.277371406555176,72.05079861452586,4.826994597911835,124.83521628643085,0.0004863421537438362,146440.24682744095
initial,3800,850.4251480847597,850.4251480847597,4.6412858963012695,103.67758052036754,4.827027380466461,124.83930877080874,0.0004854841384652106,146419.0002852427
initial,3900,872.4957447871566,872.4957447871566,4.835283279418945,125.87423573718021,4.793604671955109,120.73579815048926,0.0004846008345403894,146470.85760994212
initial,4000,894.8772554546595,894.8772554546595,5.157330513000488,173.70014586523186,4.751096546649933,115.71109760269056,0.0004836923421449304,146469.2494988113
initial,4100,917.2989691793919,917.2989691793919,4.704925537109375,110.49005723209918,4.787957310676575,120.05588115456982,0.0004827587643110174,146461.30052908196
initial,4200,939.2009471282363,939.2009471282363,4.666335105895996,106.30742218336982,4.743394315242767,114.82328740144597,0.0004818002069157755,146534.77556726625
initial,4300,961.8014173954725,961.8014173954725,4.206813335418701,67.14223874454177,4.729344487190247,113.22131999231839,0.0004808167786692637,146498.43247430347
initial,4400,984.1058566123247,984.1058566123247,4.7415971755981445,114.61711923151536,4.696727931499481,109.58800570197607,0.0004798085911021458,146507.81623871328
initial,4500,1006.3767673000693,1006.3767673000693,4.848535537719727,127.55345577578831,4.745696485042572,115.08793462054805,0.0004787757585530419,146521.66543510175
initial,4600,1028.3749907687306,1028.3749907687306,3.574376106262207,35.67235811075931,4.760160654783249,116.7646831970949,0.00047771839815556106,146573.77061194793
initial,4700,1050.553330257535,1050.553330257535,4.711968421936035,111.27097270060177,4.703709036111832,110.3557276898347,0.0004766366298250173,146598.55484180487
initial,4800,1072.6718045845628,1072.6718045845628,4.3020782470703125,73.85311934903963,4.699810296297073,109.92631704461958,0.00047553057624483006,146630.49716396318
initial,4900,1094.724170319736,1094.724170319736,4.675025939941406,107.23534873462937,4.673450291156769,107.06651653278183,0.0004744003628526105,146670.0054252975
initial,5000,1117.1703238040209,1117.1703238040209,4.7478251457214355,115.333178709707,4.643389016389847,103.89585637240474,0.0004732461178259358,146656.2407799346
initial,5100,1141.3291348442435,1141.3291348442435,4.754404544830322,116.09450350639759,4.691107302904129,108.97378000769389,0.0004720679720678122,146422.96853554546
initial,5200,1163.3986334502697,1163.3986334502697,4.953939437866211,141.73221081920767,4.662058234214783,105.85372986341275,0.0004708660591918298,146461.92207968034
initial,5300,1185.3795518502593,1185.3795518502593,4.505978584289551,90.55691828066445,4.590028464794159,98.49723382552935,0.000469640515507009,146510.37275690964
initial,5400,1207.949034973979,1207.949034973979,4.255807876586914,70.51376059995496,4.666300520300865,106.30374554148656,0.00046839148000234177,146485.6503683632
initial,5500,1230.4365170523524,1230.4365170523524,4.157132148742676,63.888038231984055,4.605552241206169,100.0382128210468,0.00046711909433102893,146471.5956510675
initial,5600,1252.470204912126,1252.470204912126,4.604086875915527,99.89172764959616,4.624590992927551,101.9610617577944,0.0004658235027944155,146511.11002906013
initial,5700,1274.8189652487636,1274.8189652487636,4.801327228546143,121.67179668334687,4.6219881772994995,101.69602098855643,0.0004645048523256251,146513.03839330073
initial,5800,1296.8578256815672,1296.8578256815672,4.357657432556152,78.07402636296175,4.563946083188057,95.96140536527231,0.0004631632924728963,146549.91182253644
initial,5900,1319.3744689300656,1319.3744689300656,4.4512224197387695,85.7316800713962,4.5597971975803375,95.56409723456204,0.00046179897538262257,146532.4701612425
initial,6000,1341.9358954280615,1341.9358954280615,4.498495101928711,89.88176657384965,4.563617527484894,95.92988187715048,0.0004604120557820973,146510.72429751526
initial,6100,1365.6757505312562,1365.6757505312562,4.541647911071777,93.84532151010143,4.545447662472725,94.20258873544661,0.000459002690961966,146363.29298681885
